CUBE_ID,TABLE_ID
EBA_FINREP_EBA_F_17.03_FINREP_2017-A,EBA_FINREP_EBA_F_17.03_FINREP_2017-A
EBA_FINREP_EBA_F_01.01_FINREP_2017-A,EBA_FINREP_EBA_F_01.01_FINREP_2017-A
EBA_FINREP_EBA_F_01.02_FINREP_2017-A,EBA_FINREP_EBA_F_01.02_FINREP_2017-A
EBA_FINREP_EBA_F_15.00.b_FINREP_2017-A,EBA_FINREP_EBA_F_15.00.b_FINREP_2017-A
EBA_FINREP_EBA_F_20.03_FINREP_2017-A,EBA_FINREP_EBA_F_20.03_FINREP_2017-A
EBA_FINREP_EBA_F_16.01_FINREP_2017-A,EBA_FINREP_EBA_F_16.01_FINREP_2017-A
EBA_FINREP_EBA_F_13.02_FINREP_2017-A,EBA_FINREP_EBA_F_13.02_FINREP_2017-A
EBA_FINREP_EBA_F_17.01_FINREP_2017-A,EBA_FINREP_EBA_F_17.01_FINREP_2017-A
EBA_FINREP_EBA_F_17.02_FINREP_2017-A,EBA_FINREP_EBA_F_17.02_FINREP_2017-A
EBA_FINREP_EBA_F_04.09_FINREP_2017-A,EBA_FINREP_EBA_F_04.09_FINREP_2017-A
EBA_FINREP_EBA_F_20.07.1_FINREP_2017-A,EBA_FINREP_EBA_F_20.07.1_FINREP_2017-A
EBA_FINREP_EBA_F_45.01_FINREP_2017-A,EBA_FINREP_EBA_F_45.01_FINREP_2017-A
EBA_FINREP_EBA_F_04.02.1_FINREP_2017-A,EBA_FINREP_EBA_F_04.02.1_FINREP_2017-A
EBA_FINREP_EBA_F_04.03.1_FINREP_2017-A,EBA_FINREP_EBA_F_04.03.1_FINREP_2017-A
EBA_FINREP_EBA_F_04.04.1_FINREP_2017-A,EBA_FINREP_EBA_F_04.04.1_FINREP_2017-A
EBA_FINREP_EBA_F_07.01_FINREP_2017-A,EBA_FINREP_EBA_F_07.01_FINREP_2017-A
EBA_FINREP_EBA_F_07.02_FINREP_2017-A,EBA_FINREP_EBA_F_07.02_FINREP_2017-A
EBA_FINREP_EBA_F_11.03_FINREP_2017-A,EBA_FINREP_EBA_F_11.03_FINREP_2017-A
EBA_FINREP_EBA_F_11.03.1_FINREP_2017-A,EBA_FINREP_EBA_F_11.03.1_FINREP_2017-A
EBA_FINREP_EBA_F_11.04_FINREP_2017-A,EBA_FINREP_EBA_F_11.04_FINREP_2017-A
EBA_FINREP_EBA_F_12.01.a_FINREP_2017-A,EBA_FINREP_EBA_F_12.01.a_FINREP_2017-A
EBA_FINREP_EBA_F_12.02_FINREP_2017-A,EBA_FINREP_EBA_F_12.02_FINREP_2017-A
EBA_FINREP_EBA_F_16.04.1_FINREP_2017-A,EBA_FINREP_EBA_F_16.04.1_FINREP_2017-A
